Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.1 (win64) Build 2552052 Fri May 24 14:49:42 MDT 2019
| Date         : Fri Feb 24 11:15:56 2023
| Host         : DESKTOP-6PS40RQ running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : tb_speed_iter_fft
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------+---------------------------------------+------------+------------+---------+------+-----+--------+--------+--------------+
|              Instance             |                 Module                | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | DSP48 Blocks |
+-----------------------------------+---------------------------------------+------------+------------+---------+------+-----+--------+--------+--------------+
| tb_speed_iter_fft                 |                                 (top) |        370 |        370 |       0 |    0 | 353 |      0 |      8 |            2 |
|   (tb_speed_iter_fft)             |                                 (top) |          3 |          3 |       0 |    0 |  45 |      0 |      0 |            0 |
|   fft                             |                          top_fft_iter |        367 |        367 |       0 |    0 | 308 |      0 |      8 |            2 |
|     (fft)                         |                          top_fft_iter |         14 |         14 |       0 |    0 |   0 |      0 |      0 |            0 |
|     a_i_reg                       |        param_register__parameterized2 |         14 |         14 |       0 |    0 |  15 |      0 |      0 |            0 |
|     a_r_reg                       |      param_register__parameterized2_0 |          0 |          0 |       0 |    0 |  15 |      0 |      0 |            0 |
|     block_reg                     |                        param_register |         61 |         61 |       0 |    0 |   1 |      0 |      0 |            0 |
|     butterfly                     |           complex_butterfly_selection |        114 |        114 |       0 |    0 |  93 |      0 |      0 |            2 |
|       cplx_but_2MUL_2ADD_2SUB     |   complex_butterfly_iter_4_clk_cycles |        114 |        114 |       0 |    0 |  93 |      0 |      0 |            2 |
|         (cplx_but_2MUL_2ADD_2SUB) |   complex_butterfly_iter_4_clk_cycles |         38 |         38 |       0 |    0 |  33 |      0 |      0 |            2 |
|         reg_dout1_im              |     param_register__parameterized2_12 |         13 |         13 |       0 |    0 |  15 |      0 |      0 |            0 |
|         reg_dout1_re              |     param_register__parameterized2_13 |         24 |         24 |       0 |    0 |  15 |      0 |      0 |            0 |
|         reg_dout2_im              |     param_register__parameterized2_14 |         16 |         16 |       0 |    0 |  15 |      0 |      0 |            0 |
|         reg_dout2_re              |     param_register__parameterized2_15 |         39 |         39 |       0 |    0 |  15 |      0 |      0 |            0 |
|     butterfly_address_gen         |            butterfly_address_gen_unit |         28 |         28 |       0 |    0 |  20 |      0 |      0 |            0 |
|       addr_reg                    |     param_register__parameterized0_11 |         26 |         26 |       0 |    0 |  10 |      0 |      0 |            0 |
|       ring_reg                    |                   ring_shift_register |          2 |          2 |       0 |    0 |  10 |      0 |      0 |            0 |
|     control_unit_selection        |       control_unit_fft_iter_selection |         21 |         21 |       0 |    0 |  24 |      0 |      0 |            0 |
|       control_unit                |       control_unit_fft_iter_4_cyc_but |         21 |         21 |       0 |    0 |  24 |      0 |      0 |            0 |
|     delay_address_A               |                            delay_unit |         10 |         10 |       0 |    0 |  20 |      0 |      0 |            0 |
|       genblk1[0].param            |      param_register__parameterized0_9 |          0 |          0 |       0 |    0 |  10 |      0 |      0 |            0 |
|       genblk1[1].param            |     param_register__parameterized0_10 |         10 |         10 |       0 |    0 |  10 |      0 |      0 |            0 |
|     delay_address_B               |                          delay_unit_1 |          0 |          0 |       0 |    0 |  20 |      0 |      0 |            0 |
|       genblk1[0].param            |      param_register__parameterized0_7 |          0 |          0 |       0 |    0 |  10 |      0 |      0 |            0 |
|       genblk1[1].param            |      param_register__parameterized0_8 |          0 |          0 |       0 |    0 |  10 |      0 |      0 |            0 |
|     delay_value_w_i               |            delay_unit__parameterized0 |         16 |         16 |       0 |    0 |  31 |      0 |      0 |            0 |
|       genblk1[0].param            |        param_register__parameterized1 |         16 |         16 |       0 |    0 |  31 |      0 |      0 |            0 |
|     firstss_reg                   |                      param_register_2 |          1 |          1 |       0 |    0 |   1 |      0 |      0 |            0 |
|     in_fifo                       |                      in_fft_FIFO_unit |         25 |         25 |       0 |    0 |  24 |      0 |      2 |            0 |
|       ram_unit_i                  |    in_fft_FIFO_dual_port_RAM_MEM_unit |          0 |          0 |       0 |    0 |   0 |      0 |      1 |            0 |
