Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.1 (win64) Build 2552052 Fri May 24 14:49:42 MDT 2019
| Date         : Fri Feb 24 11:39:08 2023
| Host         : DESKTOP-6PS40RQ running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : tb_speed_iter_fft
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------+---------------------------------------+------------+------------+---------+------+-----+--------+--------+--------------+
|              Instance             |                 Module                | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | DSP48 Blocks |
+-----------------------------------+---------------------------------------+------------+------------+---------+------+-----+--------+--------+--------------+
| tb_speed_iter_fft                 |                                 (top) |        473 |        473 |       0 |    0 | 445 |      0 |      7 |            4 |
|   (tb_speed_iter_fft)             |                                 (top) |          3 |          3 |       0 |    0 |  45 |      0 |      0 |            0 |
|   fft                             |                          top_fft_iter |        470 |        470 |       0 |    0 | 400 |      0 |      7 |            4 |
|     (fft)                         |                          top_fft_iter |         12 |         12 |       0 |    0 |   0 |      0 |      0 |            0 |
|     a_i_reg                       |        param_register__parameterized2 |         26 |         26 |       0 |    0 |  15 |      0 |      0 |            0 |
|     a_r_reg                       |      param_register__parameterized2_0 |         26 |         26 |       0 |    0 |  15 |      0 |      0 |            0 |
|     block_reg                     |                        param_register |          1 |          1 |       0 |    0 |   1 |      0 |      0 |            0 |
|     butterfly                     |           complex_butterfly_selection |        102 |        102 |       0 |    0 | 126 |      0 |      0 |            4 |
|       cplx_but_4MUL_3ADD_3SUB     |   complex_butterfly_pipe_3_clk_cycles |        102 |        102 |       0 |    0 | 126 |      0 |      0 |            4 |
|         (cplx_but_4MUL_3ADD_3SUB) |   complex_butterfly_pipe_3_clk_cycles |         62 |         62 |       0 |    0 |  66 |      0 |      0 |            4 |
|         reg_dout1_im              |     param_register__parameterized2_14 |          3 |          3 |       0 |    0 |  15 |      0 |      0 |            0 |
|         reg_dout1_re              |     param_register__parameterized2_15 |          3 |          3 |       0 |    0 |  15 |      0 |      0 |            0 |
|         reg_dout2_im              |     param_register__parameterized2_16 |         17 |         17 |       0 |    0 |  15 |      0 |      0 |            0 |
